iter	Passed	Remaining
970	5137	153
971	5142	148
972	5146	142
973	5152	137
974	5156	132
975	5159	126
976	5172	121
977	5176	116
978	5180	111
979	5186	105
980	5191	100
981	5197	95
982	5203	89
983	5208	84
984	5212	79
985	5217	74
986	5221	68
987	5225	63
988	5230	58
989	5233	52
990	5238	47
991	5242	42
992	5247	36
993	5251	31
994	5255	26
995	5260	21
996	5263	15
997	5267	10
998	5271	5
999	5276	0
